Проект,Категории,Цена,Заявки
Дизайн + желательно ваш верстальщик.,Дизайн сайтов,None,29 заявок
Свертстать меню в паблике ВК на Вики-разметке,HTML-верстка,None,4 заявки
Программные правки (CMS Magento),Системы управления (CMS),$150,5 заявок
Доработка логотипа и создание дизайна визитки,Знаки/Логотипы,$50,4 заявки
Opencart и плагины к opencart перенести сайт на другой хостинг,Веб-программирование,None,4 заявки
Дизайн (макет) сайта одностраничника landin Page,Дизайн сайтов,None,None
Донастроить портал битрикс 24 после переноса на ВДС,Веб-программирование,None,2 заявки
Нужно наполнить сайт на opencart товарами.,Наполнение сайтов,None,30 заявок
Копирайтер,Копирайтинг/Рерайтинг,None,5 заявок
Развитие информационных технологий двойного назначения,Дипломы/Курсовые/Рефераты,None,3 заявки
Дипломная срочно,Дипломы/Курсовые/Рефераты,None,нет заявок
Нужен редактор текста на эстонском,Переводы,None,1 заявка
Натянуть верстку на опен карт (Интернет магазин),Системы управления (CMS),None,7 заявок
Дизайн над кнопками,Дизайн сайтов,None,21 заявка
"Ошибка последовательности загрузки. битрикс, вёрстка",Веб-программирование,None,2 заявки
Разместить 10 комментариев полезных,Наполнение сайтов,$5,1 заявка
SEO продвижение интернет-магазина (OpenCart),Поисковые системы (SEO),$70,14 заявок
Знаток javascript и html и css,Системы управления (CMS),None,2 заявки
Помощь консультативного характера при написании приложения под Андроид,ПО для мобильных устройств,None,1 заявка
Работа на ocStore,Веб-программирование,$35,2 заявки
Доработки действующего сайта,Веб-программирование,$30,2 заявки
Адаптивная верстка и установка на WordPress,HTML-верстка,$200,17 заявок
Работа над модальным окном,Дизайн сайтов,None,3 заявки
"Наполнение сайта компании: ремонту квартир, домов, офисов",Копирайтинг/Рерайтинг,None,10 заявок
Копирайт рерайт,Копирайтинг/Рерайтинг,None,23 заявки
Дизайн игрового сайта,Дизайн сайтов,$800,28 заявок
Simpla CMS сделать верстку дизайна магазина,HTML-верстка,None,4 заявки
Исправить ошибки в шаблоне OpenCart,Веб-программирование,None,2 заявки
"Верстка и интеграция, запуск сайта с CMS (возможно разделение задач)",HTML-верстка,None,5 заявок
Доработки сайта DLE,HTML-верстка,None,None
Joomla Небольшие работы по верстке,HTML-верстка,None,7 заявок
Разработка дизайна для email,Дизайн продукции,None,7 заявок
Скопировать лендинг,Веб-программирование,None,12 заявок
Поэтапная (agile) разработка онлайн сервиса,Веб-программирование,None,4 заявки
Требуется написать тексты для разделов сайта,Копирайтинг/Рерайтинг,None,8 заявок
Настройка API от Макспостер,Веб-программирование,None,3 заявки
Написать описание атоллов Мальдив,Копирайтинг/Рерайтинг,None,4 заявки
Апдейт приложения,ПО для мобильных устройств,None,1 заявка
Написание короткого текста и заполнение карточек,Копирайтинг/Рерайтинг,None,19 заявок
Перевод и рерайт статей финансовой тематики,Переводы,None,14 заявок
Вордпресс,Веб-программирование,None,1 заявка
Рерайтер медицина,Копирайтинг/Рерайтинг,$700,6 заявок
Добавление надписей на две картинки,Фотография (обработка),None,21 заявка
Доработки сайта на Опенкарт,Веб-программирование,None,1 заявка
ИМ на адаптивном паблик шаблоне с выгрузкой 1c и онлайн оплатой,Интернет-магазины,$150,4 заявки
"Помощь системного администратора, vps plesk web host edition confixx",Системное администрирование,None,1 заявка
Разработать монограмму,Шрифты,None,6 заявок
Необходимо написать 10 статей для имейл-рассылки,Копирайтинг/Рерайтинг,None,6 заявок
Заполнение товарами интернет-гипермаркета >50000 шт.,Наполнение сайтов,None,26 заявок
Доработки,Веб-программирование,None,1 заявка
Сделать 301 редирект,Веб-программирование,None,6 заявок
Разработка регистратора аккаунтов,Веб-программирование,None,1 заявка
Нужно настроить https для доменов,Системное администрирование,None,6 заявок
Настроить e-mail рассылки на портале одежды,Контекстная реклама,None,2 заявки
Обработка фотографии,Фотография (обработка),$5,18 заявок
Верстка сайта,HTML-верстка,None,None
Разработка платежного модуля,Веб-программирование,$100,4 заявки
Cоздание фотореалистичной архитектурной локации,3D-графика,None,3 заявки
Выполнить визуализацию ландшафта,Ландшафтный дизайн,$50,9 заявок
Веб-приложение для составления списка фич,Веб-программирование,None,3 заявки
Загрузить изображение из ShutterStock,Наполнение сайтов,None,1 заявка
Доработки OpenCart 2,Веб-программирование,None,нет заявок
Наполнение сайта о путешествиях контентом,Наполнение сайтов,None,3 заявки
Заполнить интернет-магазин товарами,Наполнение сайтов,None,None
Нужна команда Java-разрабов,Веб-программирование,None,нет заявок
Факультет менеджмента в мед университете: курсовая.,Дипломы/Курсовые/Рефераты,None,1 заявка
Создать лендинги,Дизайн сайтов,$700,45 заявок
Вордпресс,Веб-программирование,None,2 заявки
Движок ShopCMS доработки,Системы управления (CMS),None,1 заявка
Постинг сообщений на форумах,Наполнение сайтов,None,4 заявки
Верстка двустороннего флаера DIN A4,Верстка полиграфии,None,14 заявок
Помощь по сайту,Веб-программирование,None,2 заявки
Написать функцию или программу для Excel,Базы данных,$15,None
Нарисовать красивое лого и визитку для сайта,Знаки/Логотипы,None,27 заявок
Wordpress & woocommerce developer,Системы управления (CMS),None,нет заявок
Поправить админку,Веб-программирование,None,4 заявки
Ролики 5-6 сек,Озвучивание,None,22 заявки
Расположить мягкую мебель в интерьере,Интерьеры/Экстерьеры,$2,10 заявок
Создать загрузчик игры.,Разработка игр,None,2 заявки
Верстка и интеграция блога  в Wordpress,HTML-верстка,$50,6 заявок
Интернет магазин по продаже чая,Интернет-магазины,$400,18 заявок
Создать HTML баннеры под дизайн сайта.,Баннеры,$1200,13 заявок
Нарисовать баннеры для Google Adwords,Баннеры,None,18 заявок
Разработать парсер для сайта,Веб-программирование,$30,4 заявки
"""Допилить"" и доработать мобильную версию интернет магазина",HTML-верстка,None,4 заявки
Производственная практика по информатике,Дипломы/Курсовые/Рефераты,None,1 заявка
Описание разделов сайта (интернет-магазин) по подробному ТЗ,Копирайтинг/Рерайтинг,$2,21 заявка
Нужен качественный копирайтинг для интернет-магазина,Копирайтинг/Рерайтинг,None,8 заявок
Курсовая по социологии,Дипломы/Курсовые/Рефераты,None,4 заявки
Интернет магазин свадебных платьев,ПО для мобильных устройств,None,5 заявок
Реферат  Технология и организация общественного питания,Дипломы/Курсовые/Рефераты,None,6 заявок
Эффективность продаж по партиям в USD,Прикладное ПО,None,2 заявки
Доработка сайта на MODX Evo,Веб-программирование,None,1 заявка
Верстка и адаптация макетов под CS Cart,HTML-верстка,None,1 заявка
Необходимо разработать адаптивный дизайн сайта,Дизайн сайтов,None,None
Веб-дизайн интернет-магазина шариков.,Дизайн сайтов,None,43 заявки
Bitrix: выполнить блок доработок для сайта по фитнесу,Веб-программирование,$175,2 заявки
Модуль Новой почты (Украина) в ИМ на OpenCart,Веб-программирование,$10,3 заявки
Дизайн для визитки и купона,Дизайн продукции,None,None
Нужны небольшие СДЛ-сайты,Сайты «под ключ»,None,4 заявки
AMP для Joomla с K2,Веб-программирование,None,1 заявка
Обработчики для сайта Квеста в реальности,Веб-программирование,None,6 заявок
Написание постов со ссылкой на форумах,Копирайтинг/Рерайтинг,None,2 заявки
Доработка сайта. Наполнение контентом.,Наполнение сайтов,None,4 заявки
Дизайн для портала по нашему миндмапу,Дизайн сайтов,None,13 заявок
Небольшие правки шаблона wordpress,Системы управления (CMS),None,4 заявки
"Seo-тексты, тематика Лечебная косметика",Копирайтинг/Рерайтинг,None,15 заявок
Разместить рекламу в пабликах ВКонтакте - 800+ смайлов для ВК,Социальные сети (SMM/SMO),$1000,5 заявок
Обновить АПИ в модулях работы с Новой Почтой (Prestashop),Веб-программирование,None,2 заявки
Подключить систему доставки к магазину на престашоп,Веб-программирование,None,2 заявки
Разработка сайта на WordPress,Системы управления (CMS),None,8 заявок
Настройка кампании Директ,Контекстная реклама,None,18 заявок
Срочная работа по обработке информации,Наполнение сайтов,None,14 заявок
Доработка блока под magento 1.9.2.4,Системы управления (CMS),None,нет заявок
Настроить Google AdWords,Контекстная реклама,None,21 заявка
Разработать упаковку для круп (бакалейных товаров),Дизайн продукции,None,11 заявок
Тест система на android с использованием фреймворков типа xposed,ПО для мобильных устройств,None,1 заявка
Доработка сервиса,Веб-программирование,None,None
Joomla,Сайты «под ключ»,$180,9 заявок
Требуется консультант по использованию Wordpress,Системы управления (CMS),None,2 заявки
Создание сайта одностраничника,Сайты «под ключ»,None,21 заявка
Продвижение сайта,Поисковые системы (SEO),$100,22 заявки
Визуализация дизайн проекта 2-х комнатной квартиры,Интерьеры/Экстерьеры,None,37 заявок
Создание копии модуля с yml-файлом я.вебмастера для сниппетов,Веб-программирование,$45,1 заявка
Landing page - автокредиты на авто с пробегом,Сайты «под ключ»,None,15 заявок
"Простой обфускатор HTML, JS и CSS кода на php",Веб-программирование,$10,1 заявка
Написать яркий заголовок и описание к видео (задание для девушек),Копирайтинг/Рерайтинг,None,11 заявок
Разработка сайта.,Веб-программирование,None,17 заявок
Разработка сайта.,Сайты «под ключ»,None,23 заявки
"1 слоган + 3 кричали для магазина "" первый сорт""",Нейминг/Слоганы,$20,16 заявок
Коррективы на сайте на DRUPAL,Системы управления (CMS),None,1 заявка
Коррективы на сайте на DRUPAL,Системы управления (CMS),None,1 заявка
Простое задание в 3d Max,3D-графика,None,6 заявок
Joomla - корректировка урлов,Системы управления (CMS),None,8 заявок
Логотип для клуба виртуальной реальности,Знаки/Логотипы,$60,25 заявок
"Нужно довести до ума уже готовый сайт,что то исправить,что то добавить",Веб-программирование,None,6 заявок
Сайт вело-доставки,Веб-программирование,None,None
Наладить работоспособность фильтра (Битрикс),Системы управления (CMS),None,4 заявки
Требуется написать ряд презентационных текстов,Копирайтинг/Рерайтинг,None,None
Нужно отрисовать дизайн модального окна,Дизайн сайтов,None,10 заявок
Продвижение группы в вк с нуля,Поисковые системы (SEO),None,4 заявки
Новый site,Веб-программирование,None,2 заявки
Добавить раздел на сайт NetCat,Веб-программирование,None,1 заявка
Английская озвучка,Озвучивание,None,13 заявок
Создание рекламного ролика,Анимация,None,6 заявок
Разработать систему учета продаж,Базы данных,None,нет заявок
Написание текстов для сайта,Новости/Статьи/Обзоры,None,23 заявки
Дизайн сайта строительной тематики,Дизайн сайтов,$185,42 заявки
Интернет магазин по продаже гель лаков,Интернет-магазины,None,19 заявок
Требуется настройка контекстной рекламы,Контекстная реклама,None,18 заявок
Настроить обмен УТ - Розница,1С-программирование,None,4 заявки
Настроить обмен УТ - Розница,1С-программирование,None,4 заявки
Создание картинки на сайт,Дизайн сайтов,None,11 заявок
Яндекс-карта на сайт UCOZ с дополнительными решениями,Веб-программирование,None,1 заявка
Калькулятор для заказа печати баннеров,Веб-программирование,None,5 заявок
Сверстать макет и натянуть на OpenCArt 2.1,HTML-верстка,None,8 заявок
Верстка сайта и натяжка на WP,HTML-верстка,None,13 заявок
Натяжка верстки Интернет магазина на Opencart,HTML-верстка,None,12 заявок
Уникальные рецепты (кулинария),Наполнение сайтов,None,1 заявка
AppScript для автоматического заполнения документов,Веб-программирование,$39,нет заявок
Вставить форму заказа,Веб-программирование,None,11 заявок
"Сделать навигацию м\у сверстанными страницами + карты, меню",HTML-верстка,$25,22 заявки
Копирайтер на шведском для сообщений на форумах,Копирайтинг/Рерайтинг,None,2 заявки
Редизайн внешнего вида купон-сайта (дизайн+верстка) + PHP scripts прав,Дизайн сайтов,None,5 заявок
Верстка одной страницы(АДАПТИВНО) + bootstrap,HTML-верстка,$35,None
"500+ статей на темы: клининг, животные, алкоголь, сад огород",Копирайтинг/Рерайтинг,None,67 заявок
Требуются рерайтеры на большой проект,Копирайтинг/Рерайтинг,$1508,24 заявки
Запуск и ведение рекламы в Facebook и Odnoklassniki,Контекстная реклама,None,4 заявки
Правки на сайте опенкарт,Веб-программирование,None,2 заявки
Разработать дизайн сайт,Дизайн сайтов,$100,45 заявок
Дизайн для разделов (строительные материалы),Дизайн сайтов,None,15 заявок
Дизайн для разделов (строительные материалы),Дизайн сайтов,None,15 заявок
Аналогичный функционал,Веб-программирование,None,5 заявок
Необходимо разработать адаптивный дизайн сайта религиозной организации,Дизайн сайтов,$350,None
Помощь в разработке/настройке корпоративного сайта на Wordpress,Веб-программирование,None,3 заявки
Написать новый текст для сайта по строительным материалам,Копирайтинг/Рерайтинг,None,12 заявок
Веб - программист,HTML-верстка,None,12 заявок
Интеграция шаблона с Yii 2,Системы управления (CMS),None,11 заявок
Сделать 2 баннера,Баннеры,None,19 заявок
Верстка,HTML-верстка,$70,None
Необходимо сделать текст-наполнение для сайта-визитки,Копирайтинг/Рерайтинг,None,10 заявок
Сделать всплывающую корзину,Веб-программирование,None,7 заявок
SEO,Поисковые системы (SEO),None,8 заявок
Сайт знакомств под ключ,Сайты «под ключ»,None,15 заявок
Консультация по программе STAR-CCM+,Машиностроение,None,нет заявок
Исключенние трафика из Аналитики,Поисковые системы (SEO),None,нет заявок
Импортировать лендинг с wix.com,Веб-программирование,None,2 заявки
Размещение ссылок на строительных форумах,Поисковые системы (SEO),None,None
"Заказ текстов на бирже, принятие и сбор в ворд",Редактирование/Корректировка,$6,None
Парсинг товаров в xml/csv,Веб-программирование,None,9 заявок
Вставить галерею и вставить вёрстку,Системы управления (CMS),None,3 заявки
"Установка и настройка Frebsd/Centos+nginx+php5-fpm, настроить сервер",Системное администрирование,None,14 заявок
Срочно нужно 11 реальных фото!,Фотография (съемка),None,1 заявка
Срочно требуется профессиональное фото!,Фотография (съемка),None,3 заявки
Верстальщик под OpenCart интернет-магазин,HTML-верстка,None,4 заявки
Продвижение группы вконтакте,Социальные сети (SMM/SMO),None,8 заявок
Необходимо настроить рекламу гугл адвордст для сайта,Контекстная реклама,None,13 заявок
"Нужен сайт ""под ключ"".",Сайты «под ключ»,None,25 заявок
Контент-редактор,Наполнение сайтов,None,10 заявок
На джумлу (Joomla) создание подписки на рекуррентные платежи,Веб-программирование,None,нет заявок
Программист PHP для написания портала,Веб-программирование,None,5 заявок
Программист PHP на проведение интеграции,Веб-программирование,None,3 заявки
Разработать браузер,Прикладное ПО,None,3 заявки
Нарисовать обложку,Дизайн продукции,None,13 заявок
Раскрутка группы в VK,Социальные сети (SMM/SMO),None,10 заявок
Нужен поиск информации и перевод с английского на русский язык,Переводы,None,12 заявок
Оповещение о новом бизнес-чате Вконтакте в Slack,Веб-программирование,None,3 заявки
Трепетно прозвонить 30 человек и предложить им услугу бухгалтерии,Служба поддержки,None,5 заявок
Настройка директа,Веб-программирование,None,3 заявки
"Рерайт на украинском, источник русскоязычный",Копирайтинг/Рерайтинг,None,28 заявок
Программист на долгосрочный проект,Веб-программирование,$350,5 заявок
"Сделать доработки модули, верстка в самписном движке, подробнее по ТЗ",Веб-программирование,None,1 заявка
Доработки на Wordpress,Веб-программирование,None,1 заявка
Необходимо нарисовать дизайн лендинга,Дизайн сайтов,$40,16 заявок
30 ответов автобильной тематики,Копирайтинг/Рерайтинг,None,3 заявки
Работа контент-менеджера,Наполнение сайтов,None,14 заявок
Верстка/редизайн сайта на битрикс (в режиме a/b теста),HTML-верстка,None,3 заявки
Разработка лого,Знаки/Логотипы,None,None
Сверстать и интегрировать сайт в diafan CMS,HTML-верстка,None,3 заявки
Рерайт,Копирайтинг/Рерайтинг,None,18 заявок
Анализ сайта для улучшения выдачи в поиске Яндекса,Поисковые системы (SEO),None,None
Правки по верстке,HTML-верстка,$30,None
Пример РЕАЛЬНОГО договора на разработку ERP системы со всеми деталями,Юридические услуги,None,6 заявок
Статьи на тему домашних вредителей,Копирайтинг/Рерайтинг,None,7 заявок
Купонный сайт,Сайты «под ключ»,None,7 заявок
Внесение правок (друпал),Веб-программирование,None,None
Продвинуть сайт по SEO,Поисковые системы (SEO),None,7 заявок
Редактирование шаблона,Веб-программирование,None,2 заявки
Сделать парсер для переноса видео и статей в ленту.,Веб-программирование,None,3 заявки
API,Веб-программирование,None,None
Сайт по продаже 1-4 принтеров одного производителя+опции+расходники,Сайты «под ключ»,None,10 заявок
Требуется написание рецептов (рерайт),Копирайтинг/Рерайтинг,None,105 заявок
Перевести все тексты маркетинг кита на немецкий язык.,Переводы,None,None
Дизайн web-сайта кондитетрской,Дизайн сайтов,$800,40 заявок
Нарисовать отдельный раздел на сайте,Дизайн сайтов,None,21 заявка
Верстка,HTML-верстка,None,16 заявок
Нужен разработчик для адаптирования сайта под мобильную версию,Веб-программирование,None,18 заявок
Требуется изоготовление контента,Наполнение сайтов,None,66 заявок
Исправить проблему HTTPS на сайте,Веб-программирование,None,7 заявок
Обработка фото,Фотография (обработка),None,None
Правки сайта на WordPress,Веб-программирование,None,10 заявок
Оптимизировать скорость загрузки сайта,Интернет-магазины,None,19 заявок
Нужна помощь в завершении миграции Joomla->Wordpress,Системы управления (CMS),None,1 заявка
Заблокировали сайт!,Веб-программирование,None,4 заявки
Битрикс программист,Веб-программирование,None,2 заявки
Верстка макета,HTML-верстка,None,18 заявок
Настроить цель Метрики и GA,Веб-программирование,None,3 заявки
Нужно разместить от 100 и более статей на сайт,Наполнение сайтов,$1,38 заявок
Сделать сайт-магазин эксклюзивного товара на движке - ModX.,Интернет-магазины,None,4 заявки
"Парсер данных из Analytics, Метрики",Веб-программирование,None,1 заявка
Написать текст для лэнда,Копирайтинг/Рерайтинг,None,8 заявок
Статьи по отоплению,Новости/Статьи/Обзоры,$6,12 заявок
Разрабтка логотипа и фирменного стиля,Фирменный стиль,None,33 заявки
Сделать верстку сайта,HTML-верстка,None,22 заявки
Админка adminLTE+laravel+postgresql,Веб-программирование,None,2 заявки
Перевод статей на украинский,Переводы,None,51 заявка
Разработчик мобильных приложений для Android,ПО для мобильных устройств,None,3 заявки
Название для сети скалодромов,Нейминг/Слоганы,$9,50 заявок
Сайт на Joomla,Системы управления (CMS),None,8 заявок
Написать дополнения в CMS  на Yii,Веб-программирование,None,5 заявок
На имеющемся html шаблоне переделать главную Биржи,HTML-верстка,None,нет заявок
Нужен копирайтер  (желательно немецкий ),Копирайтинг/Рерайтинг,None,1 заявка
Описания объектов недвижимости,Копирайтинг/Рерайтинг,None,6 заявок
"Виджет ""перезвонить за 30 секунд""",Веб-программирование,None,9 заявок
Обработка изображений для товаров (техническая тематика),Иллюстрации/Рисунки,None,27 заявок
Дизайн презентации,Презентации,None,11 заявок
Сайт автосервиса Верстка + программирование,Веб-программирование,None,6 заявок
Мобильное приложение Android iOS,ПО для мобильных устройств,None,7 заявок
Работа в социальных сетях,Социальные сети (SMM/SMO),None,5 заявок
Подключить к модулю OsClass платежный шлюз Payser через API,Веб-программирование,None,3 заявки
Наполнение сайта MODX,Наполнение сайтов,None,13 заявок
Удаление сайта из поисковой выдачи Яндекс,Поисковые системы (SEO),None,4 заявки
Сверстать одностраничник,HTML-верстка,None,8 заявок
Логотип компании,Знаки/Логотипы,$60,16 заявок
"Настроить KaraFun, Encore Karaoker на ноутбуке",Системное администрирование,None,2 заявки
Качественный подбор контента для наполнения в интернет,Веб-программирование,$10,1 заявка
Магистерская фитнес,Дипломы/Курсовые/Рефераты,None,5 заявок
Расфасовать ссылки 80 сайтов на плохие и хорошие,Копирайтинг/Рерайтинг,$20,23 заявки
Упорядочить список из 20000 словосочетаний,Копирайтинг/Рерайтинг,$30,15 заявок
Магистерская Психолого-педагогическое сопровождение,Дипломы/Курсовые/Рефераты,None,2 заявки
Модуль передачи reCaptcha 2 в RuCaptcha,Прикладное ПО,$150,1 заявка
Переверстать html-шаблон и натянуть его на Wordpress,HTML-верстка,None,6 заявок
Промо страница камеры видеонаблюдения,Дизайн сайтов,None,8 заявок
Качественно поменять фон на белый на фотографии с цветами,Фотография (обработка),None,None
Скрипт голосования,Веб-программирование,None,3 заявки
Наполнение и продвижение интернет магазина,Наполнение сайтов,None,4 заявки
Верстка и интеграция с WordPress,HTML-верстка,None,7 заявок
Нужен редактор на сайт (оформление статей по Пузату 5-8к зн),Редактирование/Корректировка,None,8 заявок
Perl/Catalyst: доработка веб-приложения (аудит/уведомления),Веб-программирование,None,1 заявка
Внести правки в сайт на WordPress,Системы управления (CMS),None,11 заявок
Верстка макета для wordpress из psd файла,Системы управления (CMS),None,15 заявок
Адаптивная верстка,HTML-верстка,None,13 заявок
Чертежи для производства,Чертежи/Схемы,None,6 заявок
Доработка адаптивной верстки,HTML-верстка,None,19 заявок
Адаптивная верстка сайта-каталога (мобильный и планшет),HTML-верстка,None,6 заявок
Рерайт по источникам,Копирайтинг/Рерайтинг,None,23 заявки
Требуется натяжка на Битрикс (интернет-магазин),Системы управления (CMS),None,9 заявок
Требуется Html/Css верстка макетов интернет-магазина.,HTML-верстка,None,37 заявок
Нужен универсальный человек,Копирайтинг/Рерайтинг,None,19 заявок
Написать 3 рекламных поста,Копирайтинг/Рерайтинг,$4,4 заявки
Синхронизация прайс-листа с CMS simpla,Веб-программирование,None,4 заявки
Разработка макета для дисконтых карт,Дизайн продукции,None,9 заявок
Натяжка сайта на Joomla или WordPress,Системы управления (CMS),None,None
Бренд-бук,Дизайн продукции,None,6 заявок
Необходима верстка на PrestaShop,HTML-верстка,$50,4 заявки
Написать статью,Копирайтинг/Рерайтинг,$1,None
Верстка главной страницы,Веб-программирование,None,5 заявок
Настройка уведомлений на битриксе,Веб-программирование,None,2 заявки
Требуется создать презентацию инфографику на продукцию,Иллюстрации/Рисунки,$30,7 заявок
Выгрузить из HH.ru 4 вакансии,Подбор персонала (HR),$3,9 заявок
Массовая подгрузка товаров в корзину для Prestashop,Веб-программирование,None,3 заявки
Верстка – Правки,HTML-верстка,$30,21 заявка
Нужен специалист CodeIgniter по настройки PHP скрипта!,Веб-программирование,None,2 заявки
Адаптивная верстка промо сайта,HTML-верстка,None,None
Редизайн логотипа и фирменный стиль.,Фирменный стиль,$250,30 заявок
Настроить несколько страниц на Wordpress. Срочно,Веб-программирование,None,None
Разработка логотипа,Знаки/Логотипы,$60,20 заявок
Копирайтинг.  Тематика Форекс.,Копирайтинг/Рерайтинг,None,6 заявок
Заполнить 300 карточек на сайте (копипаст),Наполнение сайтов,$23,42 заявки
Разработка сайта(одностраничник) CMS Wordpress +AVADA,Сайты «под ключ»,None,8 заявок
Небольшие правки,HTML-верстка,None,4 заявки
Векторные макеты для гравировки. CorelDraw,Дизайн продукции,None,14 заявок
Вывод второго блока контекстной рекламы в середине поста Wordpress,Веб-программирование,None,None
Вёрстка и слайдер ModxRevo,HTML-верстка,None,5 заявок
Парсер с настройками и экспортом в csv,Веб-программирование,$100,None
Скрипт автоматического разбора документов pdf,Веб-программирование,None,4 заявки
"Нужен Специалист PHP, знакомый с Vamshop",Веб-программирование,None,1 заявка
Озвучивание украинских текстов для образовательного портала,Озвучивание,None,10 заявок
Настроить рекламную кампанию в Google Adwords,Контекстная реклама,None,10 заявок
Необходимо быстро поменять шаблон сайта (joomla 2.5),HTML-верстка,$5,3 заявки
Разработать логотип,Знаки/Логотипы,$20,21 заявка
Создание брошюры для печати из существующей презентации,Дизайн продукции,None,11 заявок
Продающие объявление на авито,Копирайтинг/Рерайтинг,None,1 заявка
Дизайн центрального блока,Дизайн сайтов,None,10 заявок
Художник для отрисовки слотов,Иллюстрации/Рисунки,$310,13 заявок
Лендинг,Сайты «под ключ»,None,8 заявок
"Наполнение сайта. Фото, текст.",Наполнение сайтов,None,8 заявок
Raspberry PI 3 настройка и управление,Прикладное ПО,None,2 заявки
"Нужен копирайтер, который знает данную тематику",Копирайтинг/Рерайтинг,None,4 заявки
Логотип и слоган для логистической компании.,Знаки/Логотипы,None,32 заявки
Вытащить сайт из фильтра,Поисковые системы (SEO),None,4 заявки
Доработка модуля для prestashop,Веб-программирование,$15,1 заявка
Нарисовать уличный баннер 25 на 3 метра,Наружная реклама,None,7 заявок
Настройка адаптива,HTML-верстка,None,None
Вордпресс,Веб-программирование,None,8 заявок
Снять видео о работе сервиса,Видеомонтаж,None,11 заявок
Доработка сервис-платформы,Веб-программирование,None,1 заявка
Статьи для сайта,Копирайтинг/Рерайтинг,None,36 заявок
ExtJS,Веб-программирование,None,2 заявки
Подключить и настроить cms opencart,HTML-верстка,None,11 заявок
Переименовать 2500 файлов,Наполнение сайтов,None,None
Сверстать лендинг (1 страничка) + натянуть на WordPress,HTML-верстка,None,24 заявки
Верстка Wordpress,HTML-верстка,None,10 заявок
Верстка и натяжка 1 главной страницы на шаблон Битрикс,Системы управления (CMS),$80,8 заявок
Правки на сайте Joomla,Веб-программирование,None,6 заявок
Обучение и доработка шаблона на Bootstrap 3.3.6,HTML-верстка,None,5 заявок
Разработка новогодней упаковки,Дизайн продукции,$65,8 заявок
Размещение ссылок на форумах,Поисковые системы (SEO),None,None
Установка готового решения Битрикс,Системы управления (CMS),None,7 заявок
Дизайн штендер (спотыкач) магазин пуховики,Дизайн продукции,None,13 заявок
Разобраться с ошибками в магазине на OpenCart + дополнительное ТЗ.,Веб-программирование,None,5 заявок
Высококонверсионный лединг пейдж,Сайты «под ключ»,None,9 заявок
Модернизация музыклаьного портала на Node JS + React,Веб-программирование,None,3 заявки
Доработка сайта на WordPress. Front-end и back-end работы.,Веб-программирование,None,4 заявки
Наполнение товаром магазина профессионального кухонного оборудования,Копирайтинг/Рерайтинг,None,27 заявок
Приложение библиотека-читалка книг для Android,ПО для мобильных устройств,None,4 заявки
Требуются копирайтеры  для написания SEO статьей,Копирайтинг/Рерайтинг,None,15 заявок
Написать статью - обзор MMORPG игры,Копирайтинг/Рерайтинг,$5,5 заявок
Разработка дизайна мобильного приложения,Дизайн мобильных приложений,$700,16 заявок
Прицепить шаблон из джумлы 2.5 к последней версии джумлы,Системы управления (CMS),None,5 заявок
Требуется внести доработки на сайте на Drupal,Веб-программирование,None,4 заявки
Шарж по фотографии,Иллюстрации/Рисунки,None,5 заявок
Написание продвигающих статей.,Копирайтинг/Рерайтинг,None,10 заявок
"Обработка информации, рассортировать картинки по папкам",Наполнение сайтов,None,23 заявки
