Проект,Категории,Цена,Заявки
Перевести все тексты маркетинг кита на немецкий язык.,"<a class=""text-muted"" href=""/jobs/?category_id=50"">Переводы</a>",None,None
Дизайн web-сайта кондитетрской,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$800,40 заявок
Нарисовать отдельный раздел на сайте,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,21 заявка
Верстка,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,16 заявок
Нужен разработчик для адаптирования сайта под мобильную версию,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,18 заявок
Требуется изоготовление контента,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,66 заявок
Исправить проблему HTTPS на сайте,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,7 заявок
Обработка фото,"<a class=""text-muted"" href=""/jobs/?category_id=21"">Фотография (обработка)</a>",None,None
Правки сайта на WordPress,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,10 заявок
Оптимизировать скорость загрузки сайта,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,19 заявок
Нужна помощь в завершении миграции Joomla->Wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,1 заявка
Заблокировали сайт!,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Битрикс программист,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Верстка макета,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,18 заявок
Настроить цель Метрики и GA,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Нужно разместить от 100 и более статей на сайт,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",$1,38 заявок
Сделать сайт-магазин эксклюзивного товара на движке - ModX.,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,4 заявки
"Парсер данных из Analytics, Метрики","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Написать текст для лэнда,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,8 заявок
Статьи по отоплению,"<a class=""text-muted"" href=""/jobs/?category_id=45"">Новости/Статьи/Обзоры</a>",$6,12 заявок
Разрабтка логотипа и фирменного стиля,"<a class=""text-muted"" href=""/jobs/?category_id=19"">Фирменный стиль</a>",None,32 заявки
Сделать верстку сайта,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,22 заявки
Админка adminLTE+laravel+postgresql,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Перевод статей на украинский,"<a class=""text-muted"" href=""/jobs/?category_id=50"">Переводы</a>",None,51 заявка
Разработчик мобильных приложений для Android,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,3 заявки
Название для сети скалодромов,"<a class=""text-muted"" href=""/jobs/?category_id=86"">Нейминг/Слоганы</a>",$9,48 заявок
Сайт на Joomla,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,8 заявок
OpenCart доделать сайт интернет магазина,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,3 заявки
Написать дополнения в CMS  на Yii,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,5 заявок
На имеющемся html шаблоне переделать главную Биржи,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,нет заявок
Нужен копирайтер  (желательно немецкий ),"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,1 заявка
Описания объектов недвижимости,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,6 заявок
"Виджет ""перезвонить за 30 секунд""","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,9 заявок
Обработка изображений для товаров (техническая тематика),"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,27 заявок
Дизайн презентации,"<a class=""text-muted"" href=""/jobs/?category_id=60"">Презентации</a>",None,11 заявок
Сайт автосервиса Верстка + программирование,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,6 заявок
Мобильное приложение Android iOS,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,7 заявок
Работа в социальных сетях,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,5 заявок
Подключить к модулю OsClass платежный шлюз Payser через API,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Наполнение сайта MODX,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,13 заявок
Удаление сайта из поисковой выдачи Яндекс,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,4 заявки
Сверстать одностраничник,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,8 заявок
Логотип компании,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",$60,16 заявок
"Настроить KaraFun, Encore Karaoker на ноутбуке","<a class=""text-muted"" href=""/jobs/?category_id=54"">Системное администрирование</a>",None,2 заявки
Качественный подбор контента для наполнения в интернет,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$10,1 заявка
Магистерская фитнес,"<a class=""text-muted"" href=""/jobs/?category_id=47"">Дипломы/Курсовые/Рефераты</a>",None,5 заявок
Расфасовать ссылки 80 сайтов на плохие и хорошие,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$20,23 заявки
Упорядочить список из 20000 словосочетаний,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$30,15 заявок
Магистерская Психолого-педагогическое сопровождение,"<a class=""text-muted"" href=""/jobs/?category_id=47"">Дипломы/Курсовые/Рефераты</a>",None,2 заявки
Модуль передачи reCaptcha 2 в RuCaptcha,"<a class=""text-muted"" href=""/jobs/?category_id=23"">Прикладное ПО</a>",$150,1 заявка
Переверстать html-шаблон и натянуть его на Wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,6 заявок
Промо страница камеры видеонаблюдения,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,8 заявок
Качественно поменять фон на белый на фотографии с цветами,"<a class=""text-muted"" href=""/jobs/?category_id=21"">Фотография (обработка)</a>",None,None
Скрипт голосования,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Наполнение и продвижение интернет магазина,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,4 заявки
Верстка и интеграция с WordPress,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,7 заявок
Нужен редактор на сайт (оформление статей по Пузату 5-8к зн),"<a class=""text-muted"" href=""/jobs/?category_id=49"">Редактирование/Корректировка</a>",None,8 заявок
Perl/Catalyst: доработка веб-приложения (аудит/уведомления),"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Внести правки в сайт на WordPress,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,11 заявок
Верстка макета для wordpress из psd файла,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,15 заявок
Адаптивная верстка,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,13 заявок
Чертежи для производства,"<a class=""text-muted"" href=""/jobs/?category_id=78"">Чертежи/Схемы</a>",None,6 заявок
Доработка адаптивной верстки,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,19 заявок
Адаптивная верстка сайта-каталога (мобильный и планшет),"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,6 заявок
Рерайт по источникам,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,23 заявки
Требуется натяжка на Битрикс (интернет-магазин),"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,9 заявок
Требуется Html/Css верстка макетов интернет-магазина.,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,37 заявок
Нужен универсальный человек,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,18 заявок
Написать 3 рекламных поста,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$4,4 заявки
Синхронизация прайс-листа с CMS simpla,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Разработка макета для дисконтых карт,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",None,9 заявок
Натяжка сайта на Joomla или WordPress,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,None
Бренд-бук,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",None,6 заявок
Необходима верстка на PrestaShop,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$50,4 заявки
Написать статью,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$1,None
Верстка главной страницы,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,5 заявок
Настройка уведомлений на битриксе,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Требуется создать презентацию инфографику на продукцию,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",$30,7 заявок
Выгрузить из HH.ru 4 вакансии,"<a class=""text-muted"" href=""/jobs/?category_id=91"">Подбор персонала (HR)</a>",$3,9 заявок
Массовая подгрузка товаров в корзину для Prestashop,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Верстка – Правки,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$30,21 заявка
Нужен специалист CodeIgniter по настройки PHP скрипта!,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Адаптивная верстка промо сайта,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,None
Редизайн логотипа и фирменный стиль.,"<a class=""text-muted"" href=""/jobs/?category_id=19"">Фирменный стиль</a>",$250,29 заявок
Настроить несколько страниц на Wordpress. Срочно,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
Разработка логотипа,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",$60,19 заявок
Копирайтинг.  Тематика Форекс.,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,6 заявок
Заполнить 300 карточек на сайте (копипаст),"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",$23,41 заявка
Разработка сайта(одностраничник) CMS Wordpress +AVADA,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,8 заявок
Небольшие правки,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,4 заявки
Векторные макеты для гравировки. CorelDraw,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",None,14 заявок
Вывод второго блока контекстной рекламы в середине поста Wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
Вёрстка и слайдер ModxRevo,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,5 заявок
Парсер с настройками и экспортом в csv,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$100,None
Скрипт автоматического разбора документов pdf,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
"Нужен Специалист PHP, знакомый с Vamshop","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Озвучивание украинских текстов для образовательного портала,"<a class=""text-muted"" href=""/jobs/?category_id=42"">Озвучивание</a>",None,10 заявок
Настроить рекламную кампанию в Google Adwords,"<a class=""text-muted"" href=""/jobs/?category_id=88"">Контекстная реклама</a>",None,10 заявок
Необходимо быстро поменять шаблон сайта (joomla 2.5),"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$5,3 заявки
Разработать логотип,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",$20,21 заявка
Создание брошюры для печати из существующей презентации,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",None,11 заявок
Продающие объявление на авито,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,1 заявка
Дизайн центрального блока,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,10 заявок
Художник для отрисовки слотов,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",$310,12 заявок
Лендинг,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,8 заявок
"Наполнение сайта. Фото, текст.","<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,8 заявок
Raspberry PI 3 настройка и управление,"<a class=""text-muted"" href=""/jobs/?category_id=23"">Прикладное ПО</a>",None,2 заявки
"Нужен копирайтер, который знает данную тематику","<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,4 заявки
Логотип и слоган для логистической компании.,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",None,32 заявки
Вытащить сайт из фильтра,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,4 заявки
Доработка модуля для prestashop,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$15,1 заявка
Нарисовать уличный баннер 25 на 3 метра,"<a class=""text-muted"" href=""/jobs/?category_id=17"">Наружная реклама</a>",None,7 заявок
Настройка адаптива,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,None
Вордпресс,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,8 заявок
Снять видео о работе сервиса,"<a class=""text-muted"" href=""/jobs/?category_id=41"">Видеомонтаж</a>",None,11 заявок
Доработка сервис-платформы,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Статьи для сайта,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,36 заявок
ExtJS,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,2 заявки
Подключить и настроить cms opencart,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,11 заявок
Переименовать 2500 файлов,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,None
Сверстать лендинг (1 страничка) + натянуть на WordPress,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,24 заявки
Верстка Wordpress,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,10 заявок
Верстка и натяжка 1 главной страницы на шаблон Битрикс,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",$80,8 заявок
Правки на сайте Joomla,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,6 заявок
Обучение и доработка шаблона на Bootstrap 3.3.6,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,5 заявок
Разработка новогодней упаковки,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",$65,8 заявок
Размещение ссылок на форумах,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,None
Установка готового решения Битрикс,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,7 заявок
Дизайн штендер (спотыкач) магазин пуховики,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",None,13 заявок
Разобраться с ошибками в магазине на OpenCart + дополнительное ТЗ.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,5 заявок
Высококонверсионный лединг пейдж,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,9 заявок
Модернизация музыклаьного портала на Node JS + React,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Доработка сайта на WordPress. Front-end и back-end работы.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Наполнение товаром магазина профессионального кухонного оборудования,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,27 заявок
Приложение библиотека-читалка книг для Android,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,4 заявки
Требуются копирайтеры  для написания SEO статьей,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,15 заявок
Написать статью - обзор MMORPG игры,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",$5,5 заявок
Разработка дизайна мобильного приложения,"<a class=""text-muted"" href=""/jobs/?category_id=82"">Дизайн мобильных приложений</a>",$700,16 заявок
Прицепить шаблон из джумлы 2.5 к последней версии джумлы,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,5 заявок
Требуется внести доработки на сайте на Drupal,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Шарж по фотографии,"<a class=""text-muted"" href=""/jobs/?category_id=11"">Иллюстрации/Рисунки</a>",None,5 заявок
Написание продвигающих статей.,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,10 заявок
"Обработка информации, рассортировать картинки по папкам","<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,23 заявки
PHP программист,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Дизайнер анимационных Flash баннеров,"<a class=""text-muted"" href=""/jobs/?category_id=8"">Баннеры</a>",None,4 заявки
Дизайн рекламных материалов,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",None,10 заявок
Необходимо сделать шаблоны для фото для каждой соцсети,"<a class=""text-muted"" href=""/jobs/?category_id=21"">Фотография (обработка)</a>",None,5 заявок
Записать песню на английском языке,"<a class=""text-muted"" href=""/jobs/?category_id=40"">Звуки/Музыка</a>",None,5 заявок
Битрикс - поиск программиста.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,6 заявок
Разработка защитного ПО,"<a class=""text-muted"" href=""/jobs/?category_id=23"">Прикладное ПО</a>",None,нет заявок
Landing Page,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,25 заявок
Легкая доработка видеороликов,"<a class=""text-muted"" href=""/jobs/?category_id=41"">Видеомонтаж</a>",None,41 заявка
Создание лендинга (несложного),"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,None
Простой скрипт парсинга и уведомлений с форума и сайта.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,7 заявок
Вордпресс: работа с хлебными крошками,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,9 заявок
Создать директ компанию на 800-1000 слов по всем современным правилам,"<a class=""text-muted"" href=""/jobs/?category_id=88"">Контекстная реклама</a>",$16,16 заявок
Дизайн интерьера кухни-столовой,"<a class=""text-muted"" href=""/jobs/?category_id=75"">Архитектура зданий</a>",None,27 заявок
Создание 3D персонажа,"<a class=""text-muted"" href=""/jobs/?category_id=12"">3D-графика</a>",None,4 заявки
Срочно исправить ошибку в вордпресс,"<a class=""text-muted"" href=""/jobs/?category_id=34"">Системы управления (CMS)</a>",None,4 заявки
Сделать сайт с похожим функционалом,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,7 заявок
Дизайн упаковки,"<a class=""text-muted"" href=""/jobs/?category_id=18"">Дизайн продукции</a>",$50,3 заявки
Монтаж видеороликов,"<a class=""text-muted"" href=""/jobs/?category_id=41"">Видеомонтаж</a>",None,100 заявок
"Скрипты ""Метрика"" и ""Индексация""","<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,4 заявки
Сделать упрощенную регистрацию на сайте,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
Одностраничник - landing page,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,32 заявки
Сравнение букмекерских линий,"<a class=""text-muted"" href=""/jobs/?category_id=23"">Прикладное ПО</a>",None,4 заявки
Виртуальный ассистент для выполнения разных задач,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,11 заявок
SEO-копирайт + рерайт,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,4 заявки
Доработка существующего приложения для iOS и Android,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,3 заявки
Дизайн и визуализация нескольких помещений в квартире,"<a class=""text-muted"" href=""/jobs/?category_id=15"">Интерьеры/Экстерьеры</a>",None,30 заявок
Составить ТЗ для копирайтера,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,8 заявок
Продвижение интернет-сайта (SEO) в поисковой системе Яндекс,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",$2045,67 заявок
Shutterstock фото,"<a class=""text-muted"" href=""/jobs/?category_id=21"">Фотография (обработка)</a>",None,3 заявки
Раскрутка группы вк,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,12 заявок
Сделать продающий landing для физического товара.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,9 заявок
Форум под ключ,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",$200,12 заявок
Нужно написать вирусный заголовок к видео (задание для девушек!),"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,нет заявок
Создание логотипа для личного бренда. (Изделия из кожи),"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",$15,None
Разработка логотипа для компании TuskPro,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",None,None
Восстановление файловой базы 1С 8.2,"<a class=""text-muted"" href=""/jobs/?category_id=54"">Системное администрирование</a>",None,2 заявки
Фотошопим,"<a class=""text-muted"" href=""/jobs/?category_id=21"">Фотография (обработка)</a>",None,None
Добавить журнал учета клиентов с календарём в приложение,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,2 заявки
Оформление статей на сайте медицинской тематики,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",None,6 заявок
Яндекс Директ,"<a class=""text-muted"" href=""/jobs/?category_id=88"">Контекстная реклама</a>",$300,13 заявок
Создать логотип для сайта о детях,"<a class=""text-muted"" href=""/jobs/?category_id=7"">Знаки/Логотипы</a>",None,29 заявок
Оформление и публикация статей на мед-сайте,"<a class=""text-muted"" href=""/jobs/?category_id=35"">Наполнение сайтов</a>",$10,None
Опенкарт установка модуля 1С модуля.,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,1 заявка
Консультация по продвижению сайта  поисковых системах,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,None
Сделать популярной группу ВК и увеличить продажи через нее,"<a class=""text-muted"" href=""/jobs/?category_id=89"">Социальные сети (SMM/SMO)</a>",None,10 заявок
Создание инфографики на базе существующей,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",None,12 заявок
Генерация бланков наложенного платежа и адресного ярлыка,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
Автосбор криптовалюты с сайтов,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
3D пластиковые окна,"<a class=""text-muted"" href=""/jobs/?category_id=12"">3D-графика</a>",None,21 заявка
Онлайн лотерея,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$75,13 заявок
Настроить функционал на Presta Shop,"<a class=""text-muted"" href=""/jobs/?category_id=61"">Интернет-магазины</a>",None,None
Продвижение партнерской ссылки  AliExpress,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,2 заявки
Нужно красиво оформить текст,"<a class=""text-muted"" href=""/jobs/?category_id=48"">Копирайтинг/Рерайтинг</a>",None,7 заявок
Скопировать номенклатуру с сайта в эксель,"<a class=""text-muted"" href=""/jobs/?category_id=49"">Редактирование/Корректировка</a>",$10,None
Верстка лендинга,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,44 заявки
Начитка детским голосом,"<a class=""text-muted"" href=""/jobs/?category_id=42"">Озвучивание</a>",$8,8 заявок
4 Рекламных баннера сделать,"<a class=""text-muted"" href=""/jobs/?category_id=8"">Баннеры</a>",None,9 заявок
Разработка приложения под ios и Android,"<a class=""text-muted"" href=""/jobs/?category_id=28"">ПО для мобильных устройств</a>",None,7 заявок
Структура сайта,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,3 заявки
Персер музыки ВК,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,5 заявок
Создание нового проекта по образцу blablacar.com.ua,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,13 заявок
Дизайн игры,"<a class=""text-muted"" href=""/jobs/?category_id=13"">Интерфейсы игр и программ</a>",None,7 заявок
"Срочно, выполнить расчет. Теплотехника.","<a class=""text-muted"" href=""/jobs/?category_id=47"">Дипломы/Курсовые/Рефераты</a>",None,1 заявка
2D аниматор Spine,"<a class=""text-muted"" href=""/jobs/?category_id=39"">Анимация</a>",$900,5 заявок
Интернет-Магазин,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",None,29 заявок
Шаблон ZennoPoster,"<a class=""text-muted"" href=""/jobs/?category_id=9"">Дизайн сайтов</a>",$10,1 заявка
Доработка интернет-магазина на Drupal 7,"<a class=""text-muted"" href=""/jobs/?category_id=31"">Веб-программирование</a>",None,None
Требуется настроить ремаркетинг ADWORDS.,"<a class=""text-muted"" href=""/jobs/?category_id=36"">Поисковые системы (SEO)</a>",None,3 заявки
Сверстать сайт по макетам,"<a class=""text-muted"" href=""/jobs/?category_id=32"">HTML-верстка</a>",$9,7 заявок
Создать сайт для авторского проекта.,"<a class=""text-muted"" href=""/jobs/?category_id=58"">Сайты «под ключ»</a>",None,20 заявок
